@relation birthrate_modified-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute division numeric
@attribute domain numeric
@attribute wealth numeric
@attribute age numeric
@attribute school numeric
@attribute class numeric
@attribute working numeric
@attribute newspaper numeric
@attribute tv numeric
@attribute asha numeric
@attribute grameen numeric
@attribute mclub numeric
@attribute born numeric
@attribute more numeric
@attribute method numeric
@attribute died numeric
@attribute birth numeric

@data
0,0,0.75,0.783784,1,0.555556,0,1,1,0,0,0,0.111111,0,1,0,2
0,0,0.5,0.810811,1,0.666667,0,1,1,0,0,0,0.444444,0,0,0,2
0,0,0,0.432432,1,0.277778,1,0,1,0,0,0,0.444444,0,1,0,1
0,0,0,0.405405,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,4
0,0,0,0.297297,1,0.5,0,0,1,1,1,0,0.111111,0,1,0,2
0,0,0.5,0.972973,1,0.388889,0,0,1,0,0,0,0.444444,0,0,0,2
0,0,0.5,0.486486,0,0,0,0,1,0,0,0,0.111111,0,1,0,4
0,0,0.25,0.324324,1,0.277778,0,0,1,0,0,0,0.444444,0,0,0,1
0,0,0,0.405405,0,0,1,0,1,0,0,0,0.111111,1,1,0,1
0,0,0,0.702703,1,0.444444,0,0,1,0,0,0,0.444444,0,1,0,4
0,0,0,0.405405,1,0.5,0,1,1,1,0,0,0.444444,0,0,0,3
0,0,0.25,0.405405,1,0.5,0,0,1,0,0,0,0.111111,0,1,0,2
0,0,0.25,0.594595,1,0.5,0,0,1,0,0,0,0.444444,0,1,0,2
0,0,0.5,0.351351,1,0.5,0,0,1,0,1,0,0.444444,1,0,0,0
0,0,0,0.621622,1,0.277778,0,0,1,0,0,0,0.111111,0,1,0,3
0,0,0.25,0.324324,1,0.5,0,1,1,0,0,0,0.444444,1,1,0,1
0,0,0.75,0.216216,1,0.555556,0,0,1,0,0,0,0.444444,1,1,0,0
0,0,0.25,0.621622,1,0.388889,0,0,1,0,0,0,0.444444,0,1,0,2
0,0,0,0.756757,0,0,0,0,1,0,0,0,0.111111,0,1,0,3
0,0,0.25,0.297297,1,0.388889,0,0,1,1,0,0,0.444444,0,1,0,1
0,0,0,0.405405,1,0.277778,0,0,1,1,0,0,0.444444,0,1,0,2
0,0,0.75,1,1,0.666667,0,1,1,0,0,0,0.111111,0,0,0,2
0,0,0.75,0.621622,1,0.666667,0,1,1,0,0,0,0.111111,0,1,0,3
0,0,0.75,0.432432,1,0.777778,0,1,1,0,0,0,0.111111,1,0,0,2
0,0,0.25,0.324324,1,0.388889,0,1,1,0,0,0,0.333333,1,0,0,1
0,0,0.5,0.567568,1,0.5,0,0,1,0,0,0,0.111111,0,0,0,2
0,0,0,0.675676,1,0.277778,1,1,1,1,0,0,0.444444,0,1,0,2
0,0,0,0.108108,1,0.388889,0,1,1,0,0,0,0.111111,1,1,0,0
