division,domain,wealth,age,age_when_married,school,class,working,newspaper,tv,asha,grameen,mclub,born,any,mmore,more,method,died,birth
1,1,3,24,14,1,4,2,2,1,1,2,2,4,,1,,1,0,2
1,1,1,35,16,1,1,2,2,2,1,2,2,4,,2,,1,0,4
1,1,3,23,15,1,6,2,2,1,2,2,2,,,,,,0,1
1,1,2,19,16,1,6,2,1,1,1,2,2,,,1,,1,0,1
1,1,1,27,13,2,,2,,1,2,2,2,,,2,,1,0,3
1,1,2,48,15,1,5,2,2,1,2,2,2,1,,2,,2,0,5
1,1,2,,,,,,,,,,,,,,,,0,
1,1,2,39,15,2,,2,,1,1,2,2,,,2,,1,0,4
1,1,3,24,15,1,5,2,2,1,1,2,2,4,,1,,1,0,1
1,1,2,39,15,1,8,1,2,1,1,2,2,,,2,,1,1,3
1,1,3,39,13,1,6,2,2,1,1,2,2,,,2,,1,0,5
1,1,2,21,17,1,5,2,2,2,2,2,2,,1,,,1,0,0
1,1,3,48,15,1,3,2,2,1,1,2,2,4,,2,,1,0,2
1,1,3,27,14,1,2,1,2,1,2,2,2,,,2,,1,0,2
1,1,5,40,14,1,9,2,2,1,2,2,2,1,,2,,1,0,4
1,1,1,18,17,1,3,2,2,1,2,2,2,,,,,,0,0
1,1,1,25,21,1,5,2,2,1,2,2,2,2,,1,,1,0,1
1,1,3,24,18,1,7,2,2,1,2,2,2,,,1,,1,0,1
1,1,2,26,16,1,5,2,2,1,2,2,2,,,2,,1,0,2
1,1,1,48,14,2,,2,,2,1,2,2,,,2,,1,0,3
1,1,1,23,13,1,3,2,2,2,2,2,2,,,2,,1,0,2
1,1,1,30,13,2,,2,,2,2,2,2,,,2,,1,0,3
1,1,3,49,14,1,3,2,2,1,2,2,2,,,2,,2,1,6
1,1,3,29,14,1,5,1,2,1,2,1,2,,,,,,1,3
1,1,2,39,14,2,,2,,1,1,2,2,4,,2,,2,0,3
1,1,2,18,15,1,8,2,2,1,2,2,2,4,,1,,1,0,1
1,1,1,21,17,1,6,2,2,2,2,2,2,,,2,,1,0,2
1,1,2,29,16,1,9,2,2,1,2,2,2,4,,2,,1,0,2
1,1,1,42,15,2,,1,,2,2,2,2,4,,,,,2,4
1,1,1,33,14,1,4,2,2,2,2,2,2,4,,2,,1,0,2
1,1,1,26,15,1,4,1,2,1,2,2,2,4,,2,,1,0,2
1,1,1,42,13,2,,2,,1,2,2,2,4,,2,,2,1,3
1,1,1,22,16,1,4,2,2,1,2,2,2,4,,1,,1,0,1
1,1,2,27,18,1,5,2,2,1,1,2,2,2,,,,,0,1
1,1,1,30,18,1,5,2,2,2,2,2,2,,,2,,1,1,3
1,1,1,31,17,1,7,2,1,1,1,1,2,,,2,,1,1,4
1,1,1,27,14,1,4,1,2,1,1,2,2,,,2,,1,0,2
1,1,1,26,17,1,6,2,1,1,1,2,2,4,,1,,1,0,2
1,1,1,,,,,,,,,,,,,,,,0,
1,1,2,34,16,1,4,1,2,1,1,2,2,,,2,,1,0,3
1,1,2,21,16,1,4,2,2,1,1,2,2,2,,1,,1,0,1
1,1,2,20,17,1,8,1,2,1,2,2,2,,,,,,0,0
1,1,1,26,14,1,5,1,2,1,1,2,2,,,2,,1,0,2
1,1,2,41,13,1,3,2,2,1,2,2,2,,,2,,1,0,4
1,1,1,35,14,1,0,2,2,1,1,2,2,2,,2,,1,0,4
1,1,1,25,14,1,5,2,2,1,1,2,2,2,,1,,1,0,2
1,1,1,26,14,2,,2,,1,2,2,2,,,1,,1,0,3
1,1,1,23,13,1,5,2,2,2,2,2,2,,,2,,1,0,2
1,1,1,38,17,1,5,2,2,1,1,2,2,2,,2,,1,0,3
1,1,1,17,13,1,3,2,2,1,2,2,2,,1,,,2,0,0
1,1,1,29,17,1,5,1,2,1,2,2,2,,,2,,1,0,3
1,1,1,31,18,1,2,2,2,2,1,2,2,2,,2,,1,0,2
1,1,1,19,13,1,4,2,2,1,2,2,2,,,1,,1,1,2
1,1,1,26,12,1,4,2,2,2,1,2,2,4,,1,,1,1,3
1,1,1,42,17,1,3,1,2,1,2,2,2,,,2,,1,0,4
