wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
1,40.0,14.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
3,43.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
2,23.0,15.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,29.0,16.0,1.0,8.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,30.0,13.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
4,32.0,15.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,24.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,39.0,15.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,31.0,18.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0
2,30.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,36.0,13.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1,3.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
