@relation birth_stat_data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute wealth numeric
@attribute age numeric
@attribute age_when_married numeric
@attribute school numeric
@attribute class numeric
@attribute working numeric
@attribute tv numeric
@attribute asha numeric
@attribute want_child numeric
@attribute method numeric
@attribute died numeric
@attribute birth numeric
@attribute first_child_gender numeric
@attribute children_away numeric
@attribute boys_died numeric
@attribute girls_died numeric
@attribute domain_1 numeric
@attribute domain_2 numeric
@attribute domain_3 numeric
@attribute born_place_1.0 numeric
@attribute born_place_2.0 numeric
@attribute born_place_3.0 numeric
@attribute born_place_4.0 numeric
@attribute born_place_9.0 numeric

@data
0.5,0.8,0.518519,1,0.666667,0,1,0,0,0,0,0.071429,0,0,0,0,1,0,0,0,0,0,1,0
0,0.4,0.259259,1,0.277778,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.371429,0.185185,1,0.277778,0,1,0,0,1,0,0.214286,0,0,0,0,1,0,0,1,0,0,0,0
0,0.257143,0.148148,1,0.5,0,1,1,0,1,0,0.071429,1,0,0,0,1,0,0,1,0,0,0,0
0.5,0.971429,0.296296,1,0.388889,0,1,0,0,0,0,0.071429,1,0,0,0,1,0,0,0,0,0,1,0
0.5,0.457143,0.111111,0,0,0,1,0,0,1,0,0.214286,1,0,0,0,1,0,0,1,0,0,0,0
0.25,0.285714,0.148148,1,0.277778,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.371429,0.407407,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0.685714,0.222222,1,0.444444,0,1,0,0,1,0,0.214286,1,1,0,0,1,0,0,0,0,0,1,0
0,0.371429,0.37037,1,0.5,0,1,1,0,0,0,0.142857,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.371429,0.185185,1,0.5,0,1,0,0,1,0,0.071429,1,0,0,0,1,0,0,1,0,0,0,0
0.25,0.571429,0.259259,1,0.5,0,1,0,0,1,0,0.071429,1,0,0,0,1,0,0,0,0,0,1,0
0,0.6,0.148148,1,0.277778,0,1,0,0,1,0,0.142857,1,1,0,0,1,0,0,1,0,0,0,0
0.25,0.285714,0.333333,1,0.5,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.25,0.6,0.259259,1,0.388889,0,1,0,0,1,0,0.071429,0,0,0,0,1,0,0,0,0,0,1,0
0,0.742857,0.259259,0,0,0,1,0,0,1,0,0.142857,1,1,0,0,1,0,0,1,0,0,0,0
0.25,0.257143,0.259259,1,0.388889,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.371429,0.296296,1,0.277778,0,1,1,0,1,0,0.071429,0,0,0,0,1,0,0,0,0,0,1,0
0.75,1,0.592593,1,0.666667,0,1,0,0,0,0,0.071429,1,0,0,0,1,0,0,1,0,0,0,0
0.75,0.6,0.481481,1,0.666667,0,1,0,0,1,0,0.142857,1,0,0,0,1,0,0,1,0,0,0,0
0.75,0.4,0.407407,1,0.777778,0,1,0,1,0,0,0.071429,0,0,0,0,1,0,0,1,0,0,0,0
0.25,0.285714,0.148148,1,0.388889,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.5,0.542857,0.37037,1,0.5,0,1,0,0,0,0,0.071429,1,0,0,0,1,0,0,1,0,0,0,0
0,0.657143,0.37037,1,0.277778,1,1,1,0,1,0,0.071429,0,0,0,0,1,0,0,0,0,0,1,0
0.25,0.228571,0.259259,1,0.333333,0,1,1,0,1,0,0.071429,1,0,0,0,1,0,0,1,0,0,0,0
0.75,0.428571,0.518519,1,0.666667,0,1,0,0,1,0,0.071429,0,0,0,0,1,0,0,1,0,0,0,0
0.75,0.485714,0.37037,1,0.777778,0,1,1,0,1,0,0.071429,0,0,0,0,1,0,0,1,0,0,0,0
