wealth,age,age_when_married,school,upto_class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
3,42,14,1,2,0,1,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,1,0
3,22,18,1,4,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
3,36,18,1,5,0,1,0,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0
1,34,16,1,3,0,1,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
3,24,14,1,4,0,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
1,35,16,1,1,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0
2,19,16,1,6,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,27,13,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
2,48,15,1,5,0,1,0,0,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0
2,39,15,0,0,0,1,1,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0,0
3,24,15,1,5,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2,39,15,1,8,1,1,1,0,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0
3,39,13,1,6,0,1,1,0,1,0,5,1,1,0,0,1,0,0,1,0,0,0,0
3,48,15,1,3,0,1,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0
3,27,14,1,2,1,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
5,40,14,1,9,0,1,0,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0,0
1,25,21,1,5,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
3,24,18,1,7,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,26,16,1,5,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,48,14,0,0,0,0,1,0,1,0,3,1,1,0,0,1,0,0,1,0,0,0,0
1,23,13,1,3,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,30,13,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
3,49,14,1,3,0,1,0,0,0,1,6,1,1,1,0,1,0,0,1,0,0,0,0
2,39,14,0,0,0,1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0
2,18,15,1,8,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,21,17,1,6,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,29,16,1,9,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,33,14,1,4,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,26,15,1,4,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
1,42,13,0,0,0,1,0,0,0,1,3,1,1,1,0,1,0,0,0,0,0,1,0
1,22,16,1,4,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,30,18,1,5,0,0,0,0,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0
1,31,17,1,7,0,1,1,0,1,1,4,1,0,1,0,1,0,0,1,0,0,0,0
1,27,14,1,4,1,1,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,26,17,1,6,0,1,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,34,16,1,4,1,1,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
2,21,16,1,4,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,26,14,1,5,1,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,41,13,1,3,0,1,0,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0,0
1,35,14,1,0,0,1,1,0,1,0,4,0,1,0,0,1,0,0,0,1,0,0,0
1,25,14,1,5,0,1,1,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0
1,26,14,0,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
1,23,13,1,5,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,38,17,1,5,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0
1,29,17,1,5,1,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
1,31,18,1,2,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0
1,19,13,1,4,0,1,0,1,1,1,2,0,0,0,1,1,0,0,1,0,0,0,0
1,26,12,1,4,0,0,1,1,1,1,3,0,0,0,1,1,0,0,0,0,0,1,0
1,42,17,1,3,1,1,0,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0,0
1,24,19,1,6,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,41,18,1,3,0,0,0,0,1,1,5,0,0,0,1,1,0,0,0,0,0,1,0
2,46,13,1,3,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
1,49,14,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0
2,30,15,1,10,1,1,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,38,18,1,5,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,48,15,1,3,0,1,0,0,1,2,6,0,0,0,2,1,0,0,0,0,0,1,0
1,39,19,1,8,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,35,17,1,5,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,26,13,1,5,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,26,17,1,10,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
3,30,14,1,12,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,26,12,1,9,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,49,17,1,7,0,1,0,0,0,1,3,1,0,1,0,1,0,0,1,0,0,0,0
2,32,19,1,10,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,24,15,1,5,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,25,15,1,3,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,35,16,1,5,0,1,1,0,0,2,4,1,1,2,0,1,0,0,1,0,0,0,0
3,40,16,1,5,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0
3,23,13,1,9,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
1,43,13,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0
1,18,17,1,5,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,32,16,1,6,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,33,16,1,6,0,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0
3,28,16,1,9,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,35,16,1,4,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,28,17,1,1,1,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,45,15,1,4,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0
1,40,15,1,7,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0
2,26,14,1,9,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,35,15,1,3,1,1,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
2,23,15,1,8,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,24,16,1,4,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,24,13,1,9,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,43,15,0,0,0,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0
2,21,17,1,10,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,31,13,1,5,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
2,23,13,1,7,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,34,14,1,8,0,1,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,1,0
2,25,13,1,8,0,1,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,25,14,1,5,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,49,13,0,0,0,0,1,0,0,1,2,1,1,1,0,1,0,0,0,0,0,1,0
2,26,17,1,10,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,37,12,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
4,28,20,1,12,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,26,15,1,7,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,36,13,1,5,0,1,1,0,1,1,4,1,0,1,0,1,0,0,0,1,0,0,0
1,35,15,1,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,18,12,1,7,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
3,36,32,1,14,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,38,18,1,3,0,0,0,0,1,2,4,1,0,2,0,1,0,0,0,0,0,1,0
4,27,21,1,12,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
5,27,19,1,14,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
4,49,18,1,8,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0
2,30,16,1,5,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3,42,18,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0
3,34,26,1,10,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
3,25,17,1,14,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,31,13,1,7,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
4,30,13,1,4,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,42,17,1,10,0,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,1,0
3,30,19,1,9,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4,48,12,1,5,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
4,29,16,1,9,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0
4,41,19,1,10,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,42,22,1,12,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
1,28,15,1,5,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,27,13,1,5,0,1,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0
1,23,12,1,9,0,1,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
3,48,16,1,7,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0
3,30,11,0,0,0,1,0,0,1,0,4,1,0,0,0,1,0,0,1,0,0,0,0
2,24,12,1,5,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,27,19,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,38,14,1,8,0,1,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,1,0
1,27,18,1,9,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0
2,27,13,1,9,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
2,34,15,1,9,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,35,12,1,5,0,1,0,0,1,0,3,1,1,0,0,1,0,0,1,0,0,0,0
